Location Zone,Casino,Restaurant,Day of Week,Start Time,End Time,Drinks,Food,Start Time Clean,End Time Clean,Is Sunday,Is Monday,Is Tuesday,Is Wednesday,Is Thursday,Is Friday,Is Saturday,Drink Min Price,Cheapest Drink,Food Min Price,Cheapest Food Item
Strip,The Cosmopolitan,LPM Restaurant & Bar,Wed–Sun,5:00 PM,7:00 PM,$11 cocktails,$6–$12 appetizers,5:00:00 PM,7:00:00 PM,1,0,0,1,1,1,1,11,$11 cocktails,6,$6–$12 appetizers
Strip,The Cosmopolitan,Momofuku,Daily,3:00 PM,5:00 PM,"$8 beer, $10 cocktails, $12 wine & sake",$7–$15 bites,3:00:00 PM,5:00:00 PM,1,1,1,1,1,1,1,8,$8 beer,7,$7–$15 bites
Strip,The Cosmopolitan,STK Steakhouse,Daily,2:30 PM,5:30 PM,½ off specialty cocktails,$7 menu items,2:30:00 PM,5:30:00 PM,1,1,1,1,1,1,1,0,,7,$7 menu items
Strip,Cromwell,Bound Cocktail Lounge,Daily,3:00 PM,7:00 PM,2-for-1 signature cocktails,—,3:00:00 PM,7:00:00 PM,1,1,1,1,1,1,1,2,2-for-1 signature cocktails,0,
Strip,Cromwell,Interlude Cocktail Lounge,Daily,11:00 AM,4:00 PM,"$5 domestic draft beer, margaritas, mixed cocktails",—,11:00:00 AM,4:00:00 PM,1,1,1,1,1,1,1,5,$5 domestic draft beer,0,
Strip,Crystals,Toca Madera,"Mon, Wed–Fri",4:00 PM,6:00 PM,Happy Hour drinks,Happy Hour appetizers,4:00:00 PM,6:00:00 PM,0,1,0,1,1,1,0,0,,0,
Strip,Crystals,Toca Madera,Tuesday,9:00 PM,11:59 PM,Happy Hour drinks,Taco Tuesday food,9:00:00 PM,11:59:00 PM,0,0,1,0,0,0,0,0,,0,
Strip,Excalibur,All Casino Bars,Daily,12:00 AM,11:59 PM,"$3 margaritas, $2 extra tequila shot",—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,3,$3 margaritas,0,
Strip,Excalibur,Buca di Beppo,Mon–Fri,4:00 PM,7:00 PM,"$6+ beer, shots, wine, sangria & cocktails",Select apps,4:00:00 PM,7:00:00 PM,0,1,1,1,1,1,0,6,$6+ beer,0,
Strip,Excalibur,Dick’s Last Resort,Mon–Thu,12:00 PM,5:00 PM,"$8 beer, wells & margaritas",Fried pickles,12:00:00 PM,5:00:00 PM,0,1,1,1,1,0,0,8,$8 beer,0,
Strip,Excalibur,Lobby Bar,Mon–Fri,3:00 PM,6:00 PM,$7 well cocktails,—,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,7,$7 well cocktails,0,
Strip,Excalibur,Sherwood Bar,Mon–Fri,11:00 AM,3:00 PM,"$5 draft beer, $7 wells",—,11:00:00 AM,3:00:00 PM,0,1,1,1,1,1,0,5,$5 draft beer,0,
Strip,Excalibur,The Lounge,Thu–Sat,6:00 PM,9:00 PM,$7 wells,—,6:00:00 PM,9:00:00 PM,0,0,0,0,1,1,1,7,$7 wells,0,
Strip,Excalibur,Thunder Bar,Thu–Sat,8:00 PM,11:00 PM,$7 beers & wells,—,8:00:00 PM,11:00:00 PM,0,0,0,0,1,1,1,7,$7 beers & wells,0,
Strip,Fashion Show,Benihana,Mon–Fri,3:00 PM,6:00 PM,"$3–$9 beer, wine, sake, cocktails",Appetizers,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,3,$3–$9 beer,0,
Strip,Fashion Show,California Pizza Kitchen,Mon–Fri,3:00 PM,6:00 PM,"$5 beer, $6 wells, $7 wine, $8 cocktails","$5–$8 apps, $9 pizza",3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,5,$5 beer,5,$5–$8 apps
Strip,Fashion Show,Davidoff of Geneva,Sun–Thu,5:00 PM,7:00 PM,50% off drinks,—,5:00:00 PM,7:00:00 PM,1,1,1,1,1,0,0,50,50% off drinks,0,
Strip,Fashion Show,Davidoff of Geneva,Daily,12:00 PM,2:00 PM,50% off brunch drinks,—,12:00:00 PM,2:00:00 PM,1,1,1,1,1,1,1,50,50% off brunch drinks,0,
Strip,Fashion Show,El Segundo Sol,Mon–Thu,3:00 PM,6:00 PM,$6.50 margaritas,$5–$12 food,3:00:00 PM,6:00:00 PM,0,1,1,1,1,0,0,6.5,$6.50 margaritas,5,$5–$12 food
Strip,Fashion Show,Galpão Gaucho,Mon–Fri,4:00 PM,6:30 PM,"$5 beer, $7–$8 wine, $6–$8 cocktails",$18–$28 food,4:00:00 PM,6:30:00 PM,0,1,1,1,1,1,0,5,$5 beer,18,$18–$28 food
Strip,Fashion Show,Galpão Gaucho,Sunday,3:00 PM,6:00 PM,"$5 beer, $7–$8 wine, $6–$8 cocktails",$18–$28 food,3:00:00 PM,6:00:00 PM,1,0,0,0,0,0,0,5,$5 beer,18,$18–$28 food
Strip,Fashion Show,Happy Camper Pizza,Mon–Thu,3:00 PM,6:00 PM,"$6 beer, $9 wine, $11 spritzes",Discounted bites,3:00:00 PM,6:00:00 PM,0,1,1,1,1,0,0,6,$6 beer,0,
Strip,Fashion Show,Maggiano’s Little Italy,Mon–Fri,3:00 PM,6:00 PM,$9 wine & cocktails,$9 apps,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,9,$9 wine & cocktails,9,$9 apps
Strip,Flamingo,All Casino Bars,Daily,12:00 AM,11:59 PM,$5 domestic beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 domestic beers,0,
Strip,Flamingo,Havana 1957,Mon–Fri,3:00 PM,6:00 PM,"$6 beer, $10 mojitos & daiquiris",$9 bites,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,6,$6 beer,9,$9 bites
Strip,Circus Circus,Slots A Fun Bar,Daily,12:00 AM,11:59 PM,$2 Heineken,"$2 popcorn, hot dogs or shrimp cocktail",12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,2,$2 Heineken,2,$2 popcorn
Strip,Circus Circus,West Bar,Mon–Fri,3:00 PM,6:00 PM,"$5 mimosas, $6 Bloody Mary’s, $6 cocktails, $8 beer & shot",—,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,5,$5 mimosas,0,
Strip,Circus Circus,West Bar,Mon–Fri,3:00 AM,6:00 AM,"$5 mimosas, $6 Bloody Mary’s, $6 cocktails, $8 beer & shot",—,3:00:00 AM,6:00:00 AM,0,1,1,1,1,1,0,5,$5 mimosas,0,
Strip,Planet Hollywood,All Casino Bars (Except Glass Bar),Daily,12:00 AM,11:59 PM,$5 domestic beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 domestic beers,0,
Strip,Planet Hollywood,Blondies Sports Bar,Mon–Fri,12:00 PM,4:00 PM,—,$9.99 lunch specials,12:00:00 PM,4:00:00 PM,0,1,1,1,1,1,0,0,,9.99,$9.99 lunch specials
Strip,Planet Hollywood,Blondies Sports Bar,Daily,3:00 PM,6:00 PM,$20 AYCD wells & Bud Light,—,3:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,20,$20 AYCD wells & Bud Light,0,
Strip,Planet Hollywood,Blondies Sports Bar,Daily,All Day,All Day,"$2 Bud Light, $3 Estrella, $5 shots",—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,2,$2 Bud Light,0,
Strip,Planet Hollywood,Buffalo Wild Wings,Mon–Fri,3:00 PM,6:00 PM,"$3–$5 beer, $4–$6 cocktails",$3–$6 food,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,3,$3–$5 beer,3,$3–$6 food
Strip,Planet Hollywood,Buffalo Wild Wings,Daily,9:00 PM,11:59 PM,"$3–$5 beer, $4 wells",$4 bar food,9:00:00 PM,11:59:00 PM,1,1,1,1,1,1,1,3,$3–$5 beer,4,$4 bar food
Strip,Planet Hollywood,Cabo Wabo Cantina,Mon–Fri,3:00 PM,5:00 PM,"½ off drafts, sangria & margaritas, $6 tequila shots",—,3:00:00 PM,5:00:00 PM,0,1,1,1,1,1,0,0,,0,
Strip,Planet Hollywood,Flights,Daily,9:00 AM,10:00 PM,$15 cocktail flights,—,9:00:00 AM,10:00:00 PM,1,1,1,1,1,1,1,15,$15 cocktail flights,0,
Strip,Planet Hollywood,GEN Korean BBQ,Daily,All Day,All Day,—,$25 AYCE sushi & tapas,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,0,,25,$25 AYCE sushi & tapas
Strip,Planet Hollywood,GEN Korean BBQ,Daily,4:00 PM,6:00 PM,$2–$3 off alcohol,—,4:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,2,$2–$3 off alcohol,0,
Strip,Planet Hollywood,Hot N Juicy Crawfish,Mon–Thu,3:00 PM,7:00 PM,Beer & wine specials,Happy Hour food,3:00:00 PM,7:00:00 PM,0,1,1,1,1,0,0,0,,0,
Strip,Planet Hollywood,Ketchup Premium Burger Bar,Mon–Fri,3:00 PM,6:00 PM,Happy Hour cocktails & shakes,Happy Hour food,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,0,,0,
Strip,Planet Hollywood,Ketchup Premium Burger Bar,Daily,All Day,All Day,"$5 24oz beer, shots & wells",Food specials,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 24oz beer,0,
Strip,Planet Hollywood,La Salsa,Daily,3:00 PM,6:00 PM,"$5 wells & wine, $6 margaritas, $15 yard",—,3:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,5,$5 wells & wine,0,
Strip,Planet Hollywood,Nacho Daddy,Mon–Thu,3:00 PM,6:00 PM,"$8 margaritas, beer, wine & wells",Select bites,3:00:00 PM,6:00:00 PM,0,1,1,1,1,0,0,8,$8 margaritas,0,
Strip,Planet Hollywood,Nacho Daddy,Mon–Thu,10:00 PM,2:00 AM,"$8 margaritas, beer, wine & wells",$10 nachos & tacos,10:00:00 PM,2:00:00 AM,0,1,1,1,1,0,0,8,$8 margaritas,10,$10 nachos & tacos
Strip,Planet Hollywood,P.F. Chang’s,Mon–Fri,3:00 PM,6:00 PM,"$5.99 beer, $6.99 wine, $8.99 cocktails",½ off select apps,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,5.99,$5.99 beer,0,
Strip,Planet Hollywood,P.F. Chang’s,Daily,9:00 PM,11:59 PM,"$5.99 beer, $6.99 wine, $8.99 cocktails",½ off select apps,9:00:00 PM,11:59:00 PM,1,1,1,1,1,1,1,5.99,$5.99 beer,0,
Strip,Planet Hollywood,Rainforest Cafe,Mon–Fri,2:00 PM,6:00 PM,"$4 drafts, $5–$7 cocktails",$8–$10 apps,2:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,4,$4 drafts,8,$8–$10 apps
Strip,Planet Hollywood,Rosa Mexicano,Daily,All Day,All Day,$7 mixed drinks,$11 appetizers,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,7,$7 mixed drinks,11,$11 appetizers
Strip,Planet Hollywood,Tipsy Robot,Daily,All Day,All Day,BOGO drinks,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,0,,0,
Strip,Harrah’s,All Casino Bars,Daily,12:00 AM,11:59 PM,$5 domestic beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 domestic beers,0,
Strip,Horseshoe,All Casino Bars,Daily,12:00 AM,11:59 PM,$5 domestic beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 domestic beers,0,
Strip,Horseshoe,Cabinet of Curiosities,Daily,1:00 PM,4:00 PM,"$6 beer, $9 wine, $12 specialty cocktails",—,1:00:00 PM,4:00:00 PM,1,1,1,1,1,1,1,6,$6 beer,0,
Strip,Horseshoe,Cabinet of Curiosities,Daily,10:00 PM,11:59 PM,"$6 beer, $9 wine, $12 specialty cocktails",—,10:00:00 PM,11:59:00 PM,1,1,1,1,1,1,1,6,$6 beer,0,
Strip,Horseshoe,Dirt Dog,Tuesday,All Day,All Day,"$5 Mexican beer, well tequila, $8 mini margaritas",—,12:00:00 AM,11:59:00 PM,0,0,1,0,0,0,0,5,$5 Mexican beer,0,
Strip,Horseshoe,Dirt Dog,Wednesday,All Day,All Day,$5 drinks,$8 dirt bags,12:00:00 AM,11:59:00 PM,0,0,0,1,0,0,0,5,$5 drinks,8,$8 dirt bags
Strip,Horseshoe,Dirt Dog,Thursday,All Day,All Day,"$8 teas, trash cans, Liquid Mary J",—,12:00:00 AM,11:59:00 PM,0,0,0,0,1,0,0,8,$8 teas,0,
Strip,Horseshoe,Dirt Dog,Fri–Sun,2:00 PM,11:00 PM,"$5 beers & well shots, $10 crib cocktails",—,2:00:00 PM,11:00:00 PM,1,0,0,0,0,1,1,5,$5 beers & well shots,0,
Strip,Horseshoe,Fuel Bar,Daily,All Day,All Day,BOGO cocktail (with coupon),—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,0,,0,
Strip,Horseshoe,Giordano’s,Mon–Fri,3:00 PM,5:00 PM,50% off beer & wine,50% off appetizers,3:00:00 PM,5:00:00 PM,0,1,1,1,1,1,0,50,50% off beer & wine,50,50% off appetizers
Strip,Horseshoe,Guy Fieri’s Flavortown Sports Kitchen,Mon–Fri,5:00 PM,11:00 PM,"$5 draft beers, $9.95 cocktails","$4–$7 appetizers, $19.99 beer & burger",5:00:00 PM,11:00:00 PM,0,1,1,1,1,1,0,5,$5 draft beers,4,$4–$7 appetizers
Strip,Horseshoe,Jack Binion’s Steak,Wed–Sun,4:00 PM,10:00 PM,$7.77 vodka martini,"Wedge salad, shrimp cocktail, steak slider, hot fudge sundae",4:00:00 PM,10:00:00 PM,1,0,0,1,1,1,1,7.77,$7.77 vodka martini,0,
Strip,Horseshoe,Wahlburgers (Take-Out Bar Only),Daily,All Day,All Day,"2-for-$7 beers & well drinks, $8 White Claw or 2-for-$14",—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,2,2-for-$7 beers & well drinks,0,
Strip,LINQ,All Casino Bars,Daily,12:00 AM,11:59 PM,$5 domestic beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 domestic beers,0,
Strip,LINQ,CHAYO Mexican Kitchen + Tequila Bar,Mon–Thu,2:00 PM,5:00 PM,"$12 Coronitas/Modelitas, $6 Mi Campo shot, $8 Scorpion shot, house margarita",App or entree required,2:00:00 PM,5:00:00 PM,0,1,1,1,1,0,0,12,$12 Coronitas/Modelitas,0,
Strip,LINQ,Dunkin’,Daily,1:00 PM,5:00 PM,50% off hot & iced coffee,—,1:00:00 PM,5:00:00 PM,1,1,1,1,1,1,1,50,50% off hot & iced coffee,0,
Strip,LINQ,Favorite Bistro,Daily,2:00 PM,6:00 PM,"$6 beer, wine & cocktails",$10 finger foods,2:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,6,$6 beer,10,$10 finger foods
Strip,LINQ,Favorite Bistro,Daily,All Day,All Day,$11 cocktail milkshakes & smoothies,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,11,$11 cocktail milkshakes & smoothies,0,
Strip,LINQ,Guy Fieri’s Vegas Kitchen & Bar,Mon–Fri,2:00 PM,5:00 PM,"$5 draft beers, $9.95 cocktails","$4–$7 appetizers, $19.99 beer & burger",2:00:00 PM,5:00:00 PM,0,1,1,1,1,1,0,5,$5 draft beers,4,$4–$7 appetizers
Strip,LINQ,High Roller Observation Wheel,Mon–Thu,4:00 PM,12:00 AM,Open bar (30 min ride – $69/person),—,4:00:00 PM,12:00:00 AM,0,1,1,1,1,0,0,30,Open bar (30 min ride – $69/person),0,
Strip,LINQ,High Roller Observation Wheel,Fri–Sun,12:00 PM,12:00 AM,Open bar (30 min ride – $69/person),—,12:00:00 PM,12:00:00 AM,1,0,0,0,0,1,1,30,Open bar (30 min ride – $69/person),0,
Strip,LINQ,Jimmy Kimmel’s Comedy Club,Daily,5:00 PM,7:00 PM,"$5 beer, $6 wine, shots & cocktails",$7 appetizers,5:00:00 PM,7:00:00 PM,1,1,1,1,1,1,1,5,$5 beer,7,$7 appetizers
Strip,LINQ,Maxie’s,Daily,All Day,All Day,"$3 draft beer or frozen margarita, $1 extra tequila shot",—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,3,$3 draft beer or frozen margarita,0,
Strip,LINQ,Off the Strip,Mon–Thu,2:00 PM,5:00 PM,"$5 beer, house wine & well drinks",$10 appetizers,2:00:00 PM,5:00:00 PM,0,1,1,1,1,0,0,5,$5 beer,10,$10 appetizers
Strip,LINQ,The Boss Cafe,Daily,All Day,All Day,$5 beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,5,$5 beers,0,
Strip,LINQ,Tilted Kilt,Mon–Fri,2:00 PM,6:00 PM,"$2 off beer, wine & well cocktails",$11 food specials,2:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,2,$2 off beer,11,$11 food specials
Strip,LINQ,Tilted Kilt,Sun–Wed,10:00 PM,11:59 PM,"$2 off beer, wine & well cocktails",$11 food specials,10:00:00 PM,11:59:00 PM,1,1,1,1,0,0,0,2,$2 off beer,11,$11 food specials
Strip,LINQ,Virgil’s Real BBQ,Mon–Thu,2:00 PM,5:00 PM,"$6 draft beer, $8 wine, $7–$8 cocktails",$4–$10 appetizers,2:00:00 PM,5:00:00 PM,0,1,1,1,1,0,0,6,$6 draft beer,4,$4–$10 appetizers
Strip,Luxor,All Casino Bars,Daily,12:00 AM,11:59 PM,"$3 margaritas, $2 extra Sauza tequila shot",—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,3,$3 margaritas,0,
Strip,Luxor,Aurora Cocktail Lounge,Mon–Thu,5:00 PM,7:00 PM,"$5 draft beer, $5 well cocktails",—,5:00:00 PM,7:00:00 PM,0,1,1,1,1,0,0,5,$5 draft beer,0,
Strip,Luxor,Flight Bar,Mon–Thu,1:00 PM,4:00 PM,$5 draft beer,—,1:00:00 PM,4:00:00 PM,0,1,1,1,1,0,0,5,$5 draft beer,0,
Strip,Mandalay Bay,Flanker Kitchen + Sports Bar,Mon–Fri,4:00 PM,6:00 PM,"$8 draft beer, cocktails & margaritas",$9–$12 food specials,4:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,8,$8 draft beer,9,$9–$12 food specials
Strip,Mandalay Bay,House of Blues,Daily,3:00 PM,6:00 PM,"$7 bottled beer, $8 drafts, $8 wine, $12 cocktails",$8–$17 food,3:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,7,$7 bottled beer,8,$8–$17 food
Strip,Mandalay Bay,House of Blues,Daily,9:00 PM,11:00 PM,"$7 bottled beer, $8 drafts, $8 wine, $12 cocktails",$8–$17 food,9:00:00 PM,11:00:00 PM,1,1,1,1,1,1,1,7,$7 bottled beer,8,$8–$17 food
Strip,Mandalay Bay,Rí Rá Irish Pub,Daily,3:00 PM,6:00 PM,½ off select drinks,½ off select appetizers,3:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,0,,0,
Strip,Mandalay Bay,Rí Rá Irish Pub,Daily,11:00 PM,12:00 AM,½ off select drinks,½ off select appetizers,11:00:00 PM,12:00:00 AM,1,1,1,1,1,1,1,0,,0,
Strip,Mandalay Bay,S Bar,Tue–Sat,5:00 PM,7:00 PM,Happy Hour cocktails,Happy Hour bites,5:00:00 PM,7:00:00 PM,0,0,1,1,1,1,1,0,,0,
Strip,MGM Grand,Craftsteak,Sun–Thu,4:00 PM,5:00 PM,Happy Hour drinks,Happy Hour food,4:00:00 PM,5:00:00 PM,1,1,1,1,1,0,0,0,,0,
Strip,MGM Grand,Hakkasan Restaurant,Sun–Wed,5:00 PM,7:00 PM,"$10 cocktails, wine & sake",$10 dim sum & light bites,5:00:00 PM,7:00:00 PM,1,1,1,1,0,0,0,10,$10 cocktails,10,$10 dim sum & light bites
Strip,MGM Grand,Loser’s Lounge,Varies,Varies,Varies,2-for-1 drink specials,—,,,0,0,0,0,0,0,0,2,2-for-1 drink specials,0,
Strip,New York–New York,AMERICA,Daily,5:00 PM,5:00 AM,—,$24.95 ribeye dinner,5:00:00 PM,5:00:00 AM,1,1,1,1,1,1,1,0,,24.95,$24.95 ribeye dinner
Strip,New York–New York,The Bar at Times Square,Mon–Fri,4:00 PM,7:00 PM,"$6 draft beer, $8 cocktails",$10 beer & shot combo,4:00:00 PM,7:00:00 PM,0,1,1,1,1,1,0,6,$6 draft beer,10,$10 beer & shot combo
Strip,New York–New York,Broadway Burger Bar & Grill,Mon–Thu,3:00 PM,5:00 PM,"$8 16oz draft beer, house wine & well cocktails",3 for $7 appetizers,3:00:00 PM,5:00:00 PM,0,1,1,1,1,0,0,8,$8 16oz draft beer,3,3 for $7 appetizers
Strip,New York–New York,Coyote Ugly Saloon,Daily,7:00 PM,9:00 PM,"$6 draft beer, $8 well cocktails, $12 beer & shot",—,7:00:00 PM,9:00:00 PM,1,1,1,1,1,1,1,6,$6 draft beer,0,
Strip,New York–New York,Gonzalez Y Gonzalez,Mon–Thu,2:00 PM,4:00 PM,"$6.95 Modelo, $8.95 wells, $9.95 margaritas & palomas",4 food specials,2:00:00 PM,4:00:00 PM,0,1,1,1,1,0,0,6.95,$6.95 Modelo,4,4 food specials
Strip,New York–New York,Il Fornaio Italian Restaurant,Daily,3:00 PM,6:00 PM,"$8 beer, $9 wine, $10 cocktails",$11+ select appetizers,3:00:00 PM,6:00:00 PM,1,1,1,1,1,1,1,8,$8 beer,11,$11+ select appetizers
Strip,New York–New York,Pour 24,Mon–Thu,12:00 PM,3:00 PM,"$7 draft beer, $8 well cocktails",—,12:00:00 PM,3:00:00 PM,0,1,1,1,1,0,0,7,$7 draft beer,0,
Strip,CityCenter,Ocean Prime,Mon–Fri,3:00 PM,6:00 PM,50% off signature cocktails,50% off appetizers,3:00:00 PM,6:00:00 PM,0,1,1,1,1,1,0,50,50% off signature cocktails,50,50% off appetizers
Strip,Paris,All Casino Bars,Daily,12:00 AM,11:59 PM,$7.50 domestic beers,—,12:00:00 AM,11:59:00 PM,1,1,1,1,1,1,1,7.5,$7.50 domestic beers,0,
Strip,Park MGM,Beerhaus,Daily,2:00 PM,4:00 PM,"$7 local drafts, $7 margaritas & Mai Tais",$7 menu items,2:00:00 PM,4:00:00 PM,1,1,1,1,1,1,1,7,$7 local drafts,7,$7 menu items
Strip,Park MGM,Beerhaus,Daily,9:00 PM,11:59 PM,"$7 local drafts, $7 margaritas & Mai Tais",$7 menu items,9:00:00 PM,11:59:00 PM,1,1,1,1,1,1,1,7,$7 local drafts,7,$7 menu items
Strip,Park MGM,BETMGM Sportsbook & Bar,Daily,7:00 PM,11:59 PM,$7.77 beers,$7.77 bar bites,7:00:00 PM,11:59:00 PM,1,1,1,1,1,1,1,7.77,$7.77 beers,7.77,$7.77 bar bites
Strip,Park MGM,Crack Shack,Mon–Thu,2:00 PM,5:00 PM,"$5 select beers & shots, $9 select cocktails",Discounted kitchen items,2:00:00 PM,5:00:00 PM,0,1,1,1,1,0,0,5,$5 select beers & shots,0,
Strip,Park MGM,Eataly Bar,Daily,1:00 PM,4:00 PM,Drink specials,Pizza specials,1:00:00 PM,4:00:00 PM,1,1,1,1,1,1,1,0,,0,
Strip,Park MGM,Eataly Bar,Daily,8:00 PM,10:00 PM,Discounted wine & cocktails,Discounted food,8:00:00 PM,10:00:00 PM,1,1,1,1,1,1,1,0,,0,
